,Elambda,mu.1,Q.1,c.1,R1,R2,R3
3233,2.0,267.0,0.0,1.5333333333333334,0,0,1
3234,2.0,267.0,5.0,6.766666666666667,0,0,1
3235,2.0,267.0,10.0,11.8,0,0,1
3236,2.0,267.0,15.0,16.4,0,0,1
3237,2.0,267.0,20.0,22.3,0,0,1
3238,2.0,267.0,25.0,26.333333333333332,0,0,1
3239,2.0,267.0,30.0,32.233333333333334,0,0,1
3240,2.0,267.0,35.0,37.1,0,0,1
3241,2.0,267.0,40.0,41.8,0,0,1
3242,2.0,267.0,45.0,47.13333333333333,0,0,1
3243,2.0,267.0,50.0,52.06666666666667,0,0,1
3244,2.0,267.0,55.0,56.9,0,0,1
3245,2.0,267.0,60.0,61.9,0,0,1
3246,2.0,267.0,65.0,66.86666666666666,0,0,1
3247,2.0,267.0,70.0,71.56666666666666,0,0,1
3248,2.0,267.0,75.0,76.96666666666667,0,0,1
3249,2.0,267.0,80.0,81.76666666666667,0,0,1
3250,2.0,267.0,85.0,86.83333333333333,0,0,1
3251,2.0,267.0,90.0,92.33333333333333,0,0,1
3252,2.0,267.0,95.0,97.03333333333333,0,0,1
3253,2.0,267.0,100.0,101.7,0,0,1
3254,2.0,267.0,105.0,106.96666666666667,0,0,1
3255,2.0,267.0,110.0,112.0,0,0,1
3256,2.0,267.0,115.0,116.73333333333333,0,0,1
3257,2.0,267.0,120.0,122.46666666666667,0,0,1
3258,2.0,267.0,125.0,126.96666666666667,0,0,1
3259,2.0,267.0,130.0,131.73333333333332,0,0,1
3260,2.0,267.0,135.0,137.13333333333333,0,0,1
3261,2.0,267.0,140.0,142.13333333333333,0,0,1
3262,2.0,267.0,145.0,147.3,0,0,1
3263,2.0,267.0,150.0,151.66666666666666,0,0,1
3264,2.0,267.0,155.0,156.56666666666666,0,0,1
3265,2.0,267.0,160.0,162.43333333333334,0,0,1
3266,2.0,267.0,165.0,167.2,0,0,1
3267,2.0,267.0,170.0,172.46666666666667,0,0,1
3268,2.0,267.0,175.0,176.9,0,0,1
3269,2.0,267.0,180.0,181.63333333333333,0,0,1
3270,2.0,267.0,185.0,187.13333333333333,0,0,1
3271,2.0,267.0,190.0,192.0,0,0,1
3272,2.0,267.0,195.0,196.9,0,0,1
3273,2.0,267.0,200.0,201.73333333333332,0,0,1
3274,2.0,267.0,205.0,206.6,0,0,1
3275,2.0,267.0,210.0,212.26666666666668,0,0,1
3276,2.0,267.0,215.0,216.93333333333334,0,0,1
3277,2.0,267.0,220.0,222.2,0,0,1
3278,2.0,267.0,225.0,226.93333333333334,0,0,1
3279,2.0,267.0,230.0,231.8,0,0,1
3280,2.0,267.0,235.0,237.8,0,0,1
3281,2.0,267.0,240.0,241.66666666666666,0,0,1
3282,2.0,267.0,245.0,245.6,0,0,1
3283,2.0,267.0,250.0,251.26666666666668,0,1,0
3284,2.0,267.0,255.0,253.0,0,1,0
3285,2.0,267.0,260.0,256.23333333333335,0,1,0
3286,2.0,267.0,265.0,260.73333333333335,0,1,0
3287,2.0,267.0,270.0,267.46666666666664,0,1,0
3288,2.0,267.0,275.0,263.9,0,1,0
3289,2.0,267.0,280.0,270.23333333333335,0,1,0
3290,2.0,267.0,285.0,266.03333333333336,1,0,0
3291,2.0,267.0,290.0,265.93333333333334,1,0,0
3292,2.0,267.0,295.0,264.8666666666667,1,0,0
3293,2.0,267.0,300.0,263.76666666666665,1,0,0
7503,7.0,267.0,0.0,7.133333333333334,0,0,1
7504,7.0,267.0,5.0,12.4,0,0,1
7505,7.0,267.0,10.0,16.333333333333332,0,0,1
7506,7.0,267.0,15.0,21.466666666666665,0,0,1
7507,7.0,267.0,20.0,27.5,0,0,1
7508,7.0,267.0,25.0,31.433333333333334,0,0,1
7509,7.0,267.0,30.0,37.8,0,0,1
7510,7.0,267.0,35.0,41.63333333333333,0,0,1
7511,7.0,267.0,40.0,47.766666666666666,0,0,1
7512,7.0,267.0,45.0,52.3,0,0,1
7513,7.0,267.0,50.0,57.1,0,0,1
7514,7.0,267.0,55.0,62.1,0,0,1
7515,7.0,267.0,60.0,66.96666666666667,0,0,1
7516,7.0,267.0,65.0,72.36666666666666,0,0,1
7517,7.0,267.0,70.0,76.63333333333334,0,0,1
7518,7.0,267.0,75.0,82.86666666666666,0,0,1
7519,7.0,267.0,80.0,87.4,0,0,1
7520,7.0,267.0,85.0,92.06666666666666,0,0,1
7521,7.0,267.0,90.0,96.96666666666667,0,0,1
7522,7.0,267.0,95.0,102.26666666666667,0,0,1
7523,7.0,267.0,100.0,106.66666666666667,0,0,1
7524,7.0,267.0,105.0,111.76666666666667,0,0,1
7525,7.0,267.0,110.0,116.4,0,0,1
7526,7.0,267.0,115.0,122.56666666666666,0,0,1
7527,7.0,267.0,120.0,127.53333333333333,0,0,1
7528,7.0,267.0,125.0,132.0,0,0,1
7529,7.0,267.0,130.0,136.83333333333334,0,0,1
7530,7.0,267.0,135.0,142.76666666666668,0,0,1
7531,7.0,267.0,140.0,147.3,0,0,1
7532,7.0,267.0,145.0,151.9,0,0,1
7533,7.0,267.0,150.0,157.23333333333332,0,0,1
7534,7.0,267.0,155.0,161.33333333333334,0,0,1
7535,7.0,267.0,160.0,167.4,0,0,1
7536,7.0,267.0,165.0,171.96666666666667,0,0,1
7537,7.0,267.0,170.0,176.63333333333333,0,0,1
7538,7.0,267.0,175.0,182.16666666666666,0,0,1
7539,7.0,267.0,180.0,186.6,0,0,1
7540,7.0,267.0,185.0,191.83333333333334,0,0,1
7541,7.0,267.0,190.0,197.06666666666666,0,0,1
7542,7.0,267.0,195.0,202.26666666666668,0,0,1
7543,7.0,267.0,200.0,206.9,0,0,1
7544,7.0,267.0,205.0,211.46666666666667,0,0,1
7545,7.0,267.0,210.0,217.06666666666666,0,0,1
7546,7.0,267.0,215.0,222.2,0,0,1
7547,7.0,267.0,220.0,227.1,0,0,1
7548,7.0,267.0,225.0,231.76666666666668,0,0,1
7549,7.0,267.0,230.0,236.2,0,0,1
7550,7.0,267.0,235.0,240.7,0,0,1
7551,7.0,267.0,240.0,246.03333333333333,0,0,1
7552,7.0,267.0,245.0,250.83333333333334,0,1,0
7553,7.0,267.0,250.0,253.7,0,1,0
7554,7.0,267.0,255.0,260.26666666666665,0,1,0
7555,7.0,267.0,260.0,260.1333333333333,0,1,0
7556,7.0,267.0,265.0,263.7,0,1,0
7557,7.0,267.0,270.0,257.56666666666666,0,1,0
7558,7.0,267.0,275.0,269.4,0,1,0
7559,7.0,267.0,280.0,266.8666666666667,1,0,0
7560,7.0,267.0,285.0,263.3333333333333,1,0,0
7561,7.0,267.0,290.0,264.7,1,0,0
7562,7.0,267.0,295.0,262.03333333333336,1,0,0
7563,7.0,267.0,300.0,269.3333333333333,1,0,0
11773,12.0,267.0,0.0,11.533333333333333,0,0,1
11774,12.0,267.0,5.0,17.966666666666665,0,0,1
11775,12.0,267.0,10.0,20.533333333333335,0,0,1
11776,12.0,267.0,15.0,25.466666666666665,0,0,1
11777,12.0,267.0,20.0,32.266666666666666,0,0,1
11778,12.0,267.0,25.0,37.13333333333333,0,0,1
11779,12.0,267.0,30.0,42.3,0,0,1
11780,12.0,267.0,35.0,47.43333333333333,0,0,1
11781,12.0,267.0,40.0,52.0,0,0,1
11782,12.0,267.0,45.0,57.233333333333334,0,0,1
11783,12.0,267.0,50.0,62.666666666666664,0,0,1
11784,12.0,267.0,55.0,66.36666666666666,0,0,1
11785,12.0,267.0,60.0,72.36666666666666,0,0,1
11786,12.0,267.0,65.0,76.16666666666667,0,0,1
11787,12.0,267.0,70.0,81.36666666666666,0,0,1
11788,12.0,267.0,75.0,87.63333333333334,0,0,1
11789,12.0,267.0,80.0,92.63333333333334,0,0,1
11790,12.0,267.0,85.0,96.46666666666667,0,0,1
11791,12.0,267.0,90.0,102.36666666666666,0,0,1
11792,12.0,267.0,95.0,107.06666666666666,0,0,1
11793,12.0,267.0,100.0,112.36666666666666,0,0,1
11794,12.0,267.0,105.0,116.93333333333334,0,0,1
11795,12.0,267.0,110.0,122.4,0,0,1
11796,12.0,267.0,115.0,126.63333333333334,0,0,1
11797,12.0,267.0,120.0,131.63333333333333,0,0,1
11798,12.0,267.0,125.0,136.86666666666667,0,0,1
11799,12.0,267.0,130.0,142.13333333333333,0,0,1
11800,12.0,267.0,135.0,146.93333333333334,0,0,1
11801,12.0,267.0,140.0,150.96666666666667,0,0,1
11802,12.0,267.0,145.0,156.93333333333334,0,0,1
11803,12.0,267.0,150.0,163.7,0,0,1
11804,12.0,267.0,155.0,166.66666666666666,0,0,1
11805,12.0,267.0,160.0,171.96666666666667,0,0,1
11806,12.0,267.0,165.0,177.36666666666667,0,0,1
11807,12.0,267.0,170.0,181.5,0,0,1
11808,12.0,267.0,175.0,187.13333333333333,0,0,1
11809,12.0,267.0,180.0,192.4,0,0,1
11810,12.0,267.0,185.0,197.06666666666666,0,0,1
11811,12.0,267.0,190.0,202.56666666666666,0,0,1
11812,12.0,267.0,195.0,207.6,0,0,1
11813,12.0,267.0,200.0,210.9,0,0,1
11814,12.0,267.0,205.0,217.73333333333332,0,0,1
11815,12.0,267.0,210.0,222.0,0,0,1
11816,12.0,267.0,215.0,227.43333333333334,0,0,1
11817,12.0,267.0,220.0,232.03333333333333,0,0,1
11818,12.0,267.0,225.0,236.03333333333333,0,0,1
11819,12.0,267.0,230.0,241.53333333333333,0,0,1
11820,12.0,267.0,235.0,245.5,0,0,1
11821,12.0,267.0,240.0,250.53333333333333,0,1,0
11822,12.0,267.0,245.0,254.76666666666668,0,1,0
11823,12.0,267.0,250.0,257.56666666666666,0,1,0
11824,12.0,267.0,255.0,258.06666666666666,0,1,0
11825,12.0,267.0,260.0,261.26666666666665,0,1,0
11826,12.0,267.0,265.0,267.7,0,1,0
11827,12.0,267.0,270.0,266.76666666666665,0,1,0
11828,12.0,267.0,275.0,267.03333333333336,1,0,0
11829,12.0,267.0,280.0,265.9,1,0,0
11830,12.0,267.0,285.0,265.53333333333336,1,0,0
11831,12.0,267.0,290.0,270.7,1,0,0
11832,12.0,267.0,295.0,267.7,1,0,0
11833,12.0,267.0,300.0,267.9,1,0,0
16043,17.0,267.0,0.0,15.733333333333333,0,0,1
16044,17.0,267.0,5.0,21.733333333333334,0,0,1
16045,17.0,267.0,10.0,26.633333333333333,0,0,1
16046,17.0,267.0,15.0,32.2,0,0,1
16047,17.0,267.0,20.0,35.766666666666666,0,0,1
16048,17.0,267.0,25.0,41.6,0,0,1
16049,17.0,267.0,30.0,47.833333333333336,0,0,1
16050,17.0,267.0,35.0,51.13333333333333,0,0,1
16051,17.0,267.0,40.0,56.43333333333333,0,0,1
16052,17.0,267.0,45.0,62.86666666666667,0,0,1
16053,17.0,267.0,50.0,66.83333333333333,0,0,1
16054,17.0,267.0,55.0,72.53333333333333,0,0,1
16055,17.0,267.0,60.0,77.13333333333334,0,0,1
16056,17.0,267.0,65.0,81.63333333333334,0,0,1
16057,17.0,267.0,70.0,86.0,0,0,1
16058,17.0,267.0,75.0,91.66666666666667,0,0,1
16059,17.0,267.0,80.0,96.66666666666667,0,0,1
16060,17.0,267.0,85.0,103.56666666666666,0,0,1
16061,17.0,267.0,90.0,107.46666666666667,0,0,1
16062,17.0,267.0,95.0,112.16666666666667,0,0,1
16063,17.0,267.0,100.0,118.23333333333333,0,0,1
16064,17.0,267.0,105.0,121.2,0,0,1
16065,17.0,267.0,110.0,128.2,0,0,1
16066,17.0,267.0,115.0,131.1,0,0,1
16067,17.0,267.0,120.0,136.5,0,0,1
16068,17.0,267.0,125.0,142.43333333333334,0,0,1
16069,17.0,267.0,130.0,147.13333333333333,0,0,1
16070,17.0,267.0,135.0,151.56666666666666,0,0,1
16071,17.0,267.0,140.0,157.6,0,0,1
16072,17.0,267.0,145.0,162.53333333333333,0,0,1
16073,17.0,267.0,150.0,165.13333333333333,0,0,1
16074,17.0,267.0,155.0,172.03333333333333,0,0,1
16075,17.0,267.0,160.0,178.76666666666668,0,0,1
16076,17.0,267.0,165.0,182.5,0,0,1
16077,17.0,267.0,170.0,187.8,0,0,1
16078,17.0,267.0,175.0,190.66666666666666,0,0,1
16079,17.0,267.0,180.0,197.26666666666668,0,0,1
16080,17.0,267.0,185.0,202.3,0,0,1
16081,17.0,267.0,190.0,206.16666666666666,0,0,1
16082,17.0,267.0,195.0,212.63333333333333,0,0,1
16083,17.0,267.0,200.0,217.43333333333334,0,0,1
16084,17.0,267.0,205.0,222.0,0,0,1
16085,17.0,267.0,210.0,227.53333333333333,0,0,1
16086,17.0,267.0,215.0,231.76666666666668,0,0,1
16087,17.0,267.0,220.0,236.9,0,0,1
16088,17.0,267.0,225.0,242.3,0,0,1
16089,17.0,267.0,230.0,246.3,0,0,1
16090,17.0,267.0,235.0,250.66666666666666,0,1,0
16091,17.0,267.0,240.0,255.0,0,1,0
16092,17.0,267.0,245.0,258.6333333333333,0,1,0
16093,17.0,267.0,250.0,262.23333333333335,0,1,0
16094,17.0,267.0,255.0,265.06666666666666,0,1,0
16095,17.0,267.0,260.0,263.5,0,1,0
16096,17.0,267.0,265.0,265.5,0,1,0
16097,17.0,267.0,270.0,268.1,1,0,0
16098,17.0,267.0,275.0,270.76666666666665,1,0,0
16099,17.0,267.0,280.0,270.1,1,0,0
16100,17.0,267.0,285.0,273.53333333333336,1,0,0
16101,17.0,267.0,290.0,263.5,1,0,0
